Localização;Beira Leito?;Nº do Carrinho;Cadeado;Andar;Prédio;Usuário conectado;Hostname;Patrimônio;IP;Serial Number CPU;Nome de SO;Os Release;Fabricante;Modelo;Tipo de chassi;Monitor 1;Modelo 1;Patrimônio 1;Monitor 2;Modelo 2;Patrimônio 2;Monitor 3;Modelo 3;Patrimônio 3;Webcam;Headset;DATA;Última atualização por
Agência Transfusional ;;;;7;Principal;ACSC\pamela.marcos;HSI2665D219314;219314;10.30.24.216;6D66K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;OptiPlex SFF 7010;desktop;Dell;P2016;158365;;;;;;;Não;Não;13/07/2025;Rafael Muller
Agência Transfusional - Coordenação;;;;7;Principal;ACSC\fernada.stolf;HSI2665D197029;197029;10.30.25.240;BRJ2433HWT;Microsoft Windows 11 Pro x64;25H2;Hewlett-Packard;HP ProDesk 400 G7;desktop;Dell;P2016;158879;;;;;;;Sim;Sim;07/11/2025;Guilherme Flores
Agência Transfusional - Triagem;;;;7;Principal;ACSC\KF183587;HSI2665D173439;173439;10.30.24.4;2JRZ3W2;Microsoft Windows 10 Pro x64;22H2;Dell Inc.;OptiPlex 3060;desktop;Dell;P2018H;173413;;;;;;;Não;Não;13/07/2025;Rafael Muller
Agência Transfusional - Triagem;;;;7;Principal;ACSC\LS003613;HSI2665D182842;182842;10.30.24.218;GXR8WF3;Microsoft Windows 10 Pro x64;22H2;Dell Inc.;OptiPlex 3080;desktop;Dell;P2016;158800;;;;;;;Não;Não;13/07/2025;Rafael Muller
Agência Transfusional - Triagem;;;;7;Principal;ACSC\kb030701;HSI2665D196887;196887;10.30.27.190;H86QFR3;Microsoft Windows 10 Pro x64;21H2;Dell Inc.;OptiPlex 3090;desktop;Dell;E2222HS;196812;;;;;;;Não;Não;13/07/2025;Rafael Muller
Agência Transfusional (Máquina de Crise);;;;7;Principal;ACSC\KB030701;HSI2665D182849;182849;10.30.27.60;12S8WF3;Microsoft Windows 10 Pro x64;20H2;Dell Inc.;OptiPlex 3080;desktop;Dell;P2018H;182850;;;;;;;Não;Não;13/07/2025;Rafael Muller
Almoxarifado;;;;1;Principal;ACSC\ra020381;HSI2624D182754;182754;10.30.24.100;5FVJQB3;Microsoft Windows 11 Pro x64;24H2;Dell Inc.;OptiPlex 3080;desktop;Dell;P2425H;230195;;;;;;;Não;Não;12/10/2025;Rafael Muller
Almoxarifado;;;;1;Principal;ACSC\VR123376;HSI2624D182932;182932;10.30.24.175;F0S8WF3;Microsoft Windows 11 Pro x64;24H2;Dell Inc.;OptiPlex 3080;desktop;Dell;P2425H;230231;;;;;;;Não;Não;12/10/2025;Rafael Muller
Almoxarifado;;;;1;Principal;ACSC\HT102609;HSI2625D188813;188813;10.30.26.74;2266YY3;Microsoft Windows 10 Pro x64;22H2;Dell Inc.;OptiPlex 3000;desktop;Dell;P2016;158877;Dell;P2425H;230230;;;;Não;Não;12/10/2025;Rafael Muller
Almoxarifado;;;;1;Principal;ACSC\bruno.moritz;HSI2624D182906;182906;10.30.27.75;41S8WF3;Microsoft Windows 10 Pro x64;21H1;Dell Inc.;OptiPlex 3080;desktop;Dell;P2018H;182888;;;;;;;Não;Não;20/10/2025;Guilherme Flores
Almoxarifado;;;;1;Principal;ACSC\bruno.moritz;HSI2624D230255;230255;10.30.25.1;CMTVSB4;Microsoft Windows 11 Pro x64;25H2;Dell Inc.;OptiPlex SFF 7020;desktop;Dell;P2016;218385;;;;;;;Não;Não;20/10/2025;Guilherme Flores
Ambulatório 105;;;;1;Emergência;ACSC\m093851;HSI2666D230277;230277;10.30.25.118;5MTVSB4;Microsoft Windows 11 Pro x64;24H2;Dell Inc.;OptiPlex SFF 7020;desktop;Dell;P2425H;230242;;;;;;;Não;Não;29/07/2025;Guilherme Flores
Ambulatório 105;;;;1;Emergência;acsc\user;HSI2666D219277;219277;10.30.26.156;5C66K34;Microsoft Windows 11 Pro x64;24H2;Dell Inc.;OptiPlex SFF 7010;desktop;;;;;;;;;;Não;Não;;?
Ambulatório 105 - Lado de Fora;;;;1;Emergência;acsc\user;HSI2666D219282;219282;10.30.24.242;9B66K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;OptiPlex SFF 7010;desktop;Dell;P2018H;182869;Dell;P2425H;219282;;;;Não;Não;30/10/2025;Guilherme Flores
