                       SAÍDA/TROCA TONERS;;;;;;;;;;;;;;
Código;Data; Chamado ;Porcentagem;Serial Number;IP;CRUM;OBS;;;;;;;
203U;06/11/2025; 431.044 ;1%;CNB1SBFBR2;10.30.31.42;24101408449;;;;;;;;
T01 Magenta;06/11/2025; 431.228 ;0%;N/A;10.30.31.141;N/A;;;;;;;;
W1330X;06/11/2025; 431.350 ;0%;;10.30.31.199;210415AA1FD;;;;;;;;
203U;07/11/2025; 431.145 ;0%;CNB1RC9B0V;10.30.31.109;23111303048;;;;;;;;
203U;07/11/2025; 433.094 ;1%;CNB1S8XTJB;10.30.31.159;24082905180;;;;;;;;
203U;10/11/2025; 434.128 ;0%;CNB1SBFBPN;10.30.31.27;24101408188;;;;;;;;
203U;10/11/2025;435.109;0%;;10.30.31.159;25052705801;;;;;;;;
M5360RX;11/11/2025; 435.262 ;6%;CNB2S7P1WB;10.30.31.107;24072610557;;;;;;;;
W9008MC;12/11/2025; 436.534 ;<10%;16844670;10.30.31.70;16844670;Está com falhas ao imprimir;;;;;;;
203U;12/11/2025; 437.227 ;0%;CNB1SBFBP4;10.30.31.124;24101408182;;;;;;;;
203U;13/11/2025; 437.932 ;0%;CNB1S6LN9X;10.30.31.189;24083010490;;;;;;;;
203U;13/11/2025; 438.916 ;0%;CNB1RD7HSC;10.30.31.33;25052702156;;;;;;;;
203U;16/11/2025; 440.809 ;0%;CNB2T7YHR4;;;;;;;;;;
203U;17/11/2025; 441.654 ;0%;CNB1SCCJPY;10.30.31.118;25052706158;;;;;;;;
CF258XZ;17/11/2025; 441.666 ;0%;;10.30.31.117;16916515;;;;;;;;
W1330X;17/11/2025; 441.798 ;0%;;103.031.094;N\A ;;;;;;;;
203U;19/11/2025; 444.138 ;0%;;10.30.31.81;24082905329;;;;;;;;
203U;19/11/2025; 444.291 ;0%;CNB1RD7H3N;10.30.31.57;23120809171;;;;;;;;
T01 Black;19/11/2025; 444.540 ;0%;;;;;;;;;;;
203U;24/11/2025; 446.941 ;0%;CNB154LLFD;10.30.31.116;24041911566;;;;;;;;
