Código;Quantidade;Quantidade Atual;Impressora;Marca;Fornecedor;Produto;Quantas Impressoras;Toners x Impressora;;;;
201L;2;2;M4080FX;Samsung;Simpress;Toner;2;1,00;;;;
203U;69;53;M4020 / M4070;Samsung;Simpress;Toner;91;0,58;;;;
304E;2;2;M4580;Samsung;Simpress;Toner;1;2,00;;;;
358S;9;8;M5370LX / M5360;Samsung;Simpress;Toner;8;1,00;;;;
CF258XC;5;5;M404;HP;Simpress;Toner;6;0,83;;;;
GPR-51 Black;2;2;Canon C355F;Canon;Simpress;Toner;1;2,00;;;;
GPR-51 Ciano;1;1;Canon C355F;Canon;Simpress;Toner;1;1,00;;;;
GPR-51 Magenta;1;1;Canon C355F;Canon;Simpress;Toner;1;1,00;;;;
GPR-51 Yellow;0;0;Canon C355F;Canon;Simpress;Toner;1;0,00;;;;
R04X;1;1;C5290;Epson;Helyo;Toner;1;1,00;;;;
T01 Black;2;1;Canon Imagepress;Canon;Helyo;Toner;1;1,00;;;;
T01 Ciano;1;1;Canon Imagepress;Canon;Helyo;Toner;1;1,00;;;;
T01 Magenta;2;1;Canon Imagepress;Canon;Helyo;Toner;1;1,00;;;;
T01 Yellow;1;1;Canon Imagepress;Canon;Helyo;Toner;1;1,00;;;;
W1330XC;5;5;M408DN;HP;Simpress;Toner;9;0,56;;;;
W9004MZ;4;4;HP E62655;HP;Simpress;Toner;2;2,00;;;;
W9008MZ;2;2;HP E52645;HP;Simpress;Toner;2;1,00;;;;
W9060MC;7;7;E57540;HP;Simpress;Toner;1;7,00;;;;
W9061MC;6;6;E57540;HP;Simpress;Toner;1;6,00;;;;
W9062MC;6;6;E57540;HP;Simpress;Toner;1;6,00;;;;
W9063MC;5;5;E57540;HP;Simpress;Toner;1;5,00;;;;
W9150MC;1;1;E78;HP;Simpress;Toner;2;0,50;;;;
W9151MC;1;1;E78;HP;Simpress;Toner;2;0,50;;;;
W9152MC;2;2;E78;HP;Simpress;Toner;2;1,00;;;;
W9153MC;2;2;E78;HP;Simpress;Toner;2;1,00;;;;
W9170MC;1;1;E87;HP;Simpress;Toner;1;1,00;;;;
W9171MC;1;1;E87;HP;Simpress;Toner;1;1,00;;;;
W9172MC;1;1;E87;HP;Simpress;Toner;1;1,00;;;;
W9173MC;1;1;E87;HP;Simpress;Toner;1;1,00;;;;
GPR-66 Black;0;0;;Canon;Simpress;Toner;1;0,00;;;;
GPR-66 Ciano;1;1;;Canon;Simpress;Toner;1;1,00;;;;
GPR-66 Magenta;1;1;;Canon;Simpress;Toner;1;1,00;;;;
GPR-6 Yellow;1;1;;Canon;Simpress;Toner;1;1,00;;;;
;;;;;;;;;;;;
